FJ611848	Erwinia gerundensis
GU810925	Erwinia oleae
KP326384	Pantoea intestinalis
AB907776	Pantoea theicola
KF436763	Izhakiella capsodis
GQ367478	Pantoea calida
GQ367483	Pantoea gaviniae
KM870781	Erwinia iniecta
FR870447	Erwinia toletana
LN624761	Erwinia endophytica
FN547376	Erwinia aphidicola
Z96086	Erwinia persicina
AJ233417	Erwinia rhapontici
AM055716	Erwinia tasmaniensis
AJ233410	Erwinia amylovora
AB546198	Erwinia uzenensis
EU216736	Pantoea eucrina
DQ273688	Franconibacter helveticus
DQ273684	Franconibacter pulveris
JF295057	Pantoea wallisii
DQ504305	Pantoea dispersa
AJ233413	Pantoea cypripedii
AJ233414	Erwinia mallotivora
JQ809696	Erwinia psidii
Y13250	Erwinia tracheiphila
KJ427829	Pantoea coffeiphila
AJ233423	Pantoea agglomerans
EF688012	Pantoea vagans
EF688009	Pantoea eucalypti
EF688010	Pantoea anthophila
EU216737	Pantoea conspicua
EF688011	Pantoea deleyi
EU216735	Pantoea brenneri
U80196	Pantoea ananatis
AY530795	Pantoea allii
U80208	Pantoea stewartii subsp. stewartii
EU216734	Pantoea septica
AJ010486	Pluralibacter pyrinus
AB004748	Pluralibacter gergoviae
AJ508302	Enterobacter hormaechei subsp. hormaechei
HF679035	Enterobacter xiangfangensis
AJ853890	Enterobacter hormaechei subsp. steigerwaltii
AJ853889	Enterobacter hormaechei subsp. oharae
HQ122932	Enterobacter bugandensis
AF530476	Escherichia vulneris
AJ853891	Enterobacter ludwigii
KP345900	Enterobacter muelleri
KP990658	Enterobacter tabaci
AB004744	Enterobacter asburiae
EU721605	Enterobacter mori
Z96078	Enterobacter cancerogenus
Z96077	Lelliottia nimipressuralis
AB762091	Raoultella electrica
U78182	Raoultella ornithinolytica
AF129443	Raoultella planticola
CP002824	Enterobacter aerogenes
AF025368	Citrobacter braakii
AF025369	Citrobacter murliniae
AJ233408	Citrobacter freundii
AF025373	Citrobacter werkmanii
AF025367	Citrobacter gillenii
KP057683	Citrobacter pasteurii
JQ070300	Klebsiella michiganensis
AF129440	Klebsiella oxytoca
LT615140	Citrobacter europaeus
DQ821583	Phytobacter diazotrophicus
AB519796	Yokenella regensburgei
AJ233437	Tatumella ptyseos
EF688007	Tatumella terrea
FJ756351	Tatumella punctata
EU215774	Tatumella saanichensis
DQ838096	Tatumella citrea
EU344769	Tatumella morbirosei
AF008579	Kluyvera ascorbata
AF047186	Kluyvera georgiana
AF310217	Kluyvera intermedia
AF310218	Kluyvera cryocrescens
AJ233400	Buttiauxella agrestis
AJ233401	Buttiauxella brennerae
AJ233402	Buttiauxella ferragutiae
AJ233403	Buttiauxella gaviniae
AJ233406	Buttiauxella warmboldiae
AJ233405	Buttiauxella noackiae
JF295053	Pantoea rodasii
JF295055	Pantoea rwandensis
AJ233404	Buttiauxella izardii
AB004749	Lelliottia amnigena
AJ508301	Enterobacter kobei
Y17658	Raoultella terrigena
EF059892	Cronobacter dublinensis subsp. dublinensis
EF059838	Cronobacter dublinensis subsp. lactaridi
EF059841	Cronobacter dublinensis subsp. lausannensis
EF059845	Cronobacter muytjensii
EF059877	Cronobacter universalis
EF059891	Cronobacter turicensis
EF059881	Cronobacter malonaticus
EF088379	Cronobacter sakazakii
FN539031	Cronobacter condimenti
FJ267520	Shimwellia blattae
FJ267523	Shimwellia pseudoproteus
KF500917	Erwinia teleogrylli
KF057944	Pseudocitrobacter anthropi
KF057941	Pseudocitrobacter faecalis
